name,llama (Llama-3.2-3B),lora (checkpoint_best.pt),delta_l2,baseline_l2,updated_l2,relative_delta,cosine_similarity,max_abs_delta,delta_l1,delta_density,numel,dtype,shape,lora_rank,lora_alpha,lora_scale,lora_up,lora_down,message
model.layers.1.self_attn.q_proj.weight,model.layers.1.self_attn.q_proj.weight,llama.model.layers.1.self_attn.q_proj,8.888729627624874,86.92014647825431,87.38873989083048,0.10226316898635988,0.9948136142206943,0.06848496943712234,16955.073233850588,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.1.self_attn.q_proj.lora_B.default.weight,llama.model.layers.1.self_attn.q_proj.lora_A.default.weight,
model.layers.0.self_attn.q_proj.weight,model.layers.0.self_attn.q_proj.weight,llama.model.layers.0.self_attn.q_proj,8.149699669227045,106.99582942577044,107.17437829309688,0.07616838630968314,0.9971054111538658,0.05969138443470001,17070.817248937652,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.0.self_attn.q_proj.lora_B.default.weight,llama.model.layers.0.self_attn.q_proj.lora_A.default.weight,
model.layers.22.self_attn.o_proj.weight,model.layers.22.self_attn.o_proj.weight,llama.model.layers.22.self_attn.o_proj,6.792385578011791,54.73148378727666,55.14039794102316,0.12410380841147241,0.9923839341181759,0.024652767926454544,15760.504855651656,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.22.self_attn.o_proj.lora_B.default.weight,llama.model.layers.22.self_attn.o_proj.lora_A.default.weight,
model.layers.20.self_attn.o_proj.weight,model.layers.20.self_attn.o_proj.weight,llama.model.layers.20.self_attn.o_proj,6.710885117822756,51.40893056666489,51.830231002354296,0.13053928653739197,0.9915823106848755,0.02560122311115265,15594.076397408311,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.20.self_attn.o_proj.lora_B.default.weight,llama.model.layers.20.self_attn.o_proj.lora_A.default.weight,
model.layers.0.self_attn.k_proj.weight,model.layers.0.self_attn.k_proj.weight,llama.model.layers.0.self_attn.k_proj,6.502049665982034,75.02822531613928,75.2428009064754,0.08666138161451863,0.9962596891058416,0.06601537764072418,7422.043678768981,1.0,3145728,torch.float32,"(1024, 3072)",16,16.0,1.0,llama.model.layers.0.self_attn.k_proj.lora_B.default.weight,llama.model.layers.0.self_attn.k_proj.lora_A.default.weight,
model.layers.25.self_attn.o_proj.weight,model.layers.25.self_attn.o_proj.weight,llama.model.layers.25.self_attn.o_proj,6.352463636706259,57.72573344354249,58.07416009720763,0.11004561151083789,0.9939994166380985,0.029240014031529427,15138.951293782613,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.25.self_attn.o_proj.lora_B.default.weight,llama.model.layers.25.self_attn.o_proj.lora_A.default.weight,
model.layers.23.self_attn.o_proj.weight,model.layers.23.self_attn.o_proj.weight,llama.model.layers.23.self_attn.o_proj,6.245088989105841,54.90018488302585,55.24353235261773,0.11375351471788413,0.9935897155170498,0.020022405311465263,14747.090848144035,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.23.self_attn.o_proj.lora_B.default.weight,llama.model.layers.23.self_attn.o_proj.lora_A.default.weight,
model.layers.27.self_attn.o_proj.weight,model.layers.27.self_attn.o_proj.weight,llama.model.layers.27.self_attn.o_proj,6.071260185637141,60.65612266545585,60.959723633208704,0.10009311375081963,0.9950280964878034,0.041228681802749634,14306.965736984223,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.27.self_attn.o_proj.lora_B.default.weight,llama.model.layers.27.self_attn.o_proj.lora_A.default.weight,
model.layers.24.self_attn.o_proj.weight,model.layers.24.self_attn.o_proj.weight,llama.model.layers.24.self_attn.o_proj,6.044580423332241,56.635478828125194,56.947805361581416,0.1067278064634372,0.9943509462335677,0.01777738705277443,13998.291928784205,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.24.self_attn.o_proj.lora_B.default.weight,llama.model.layers.24.self_attn.o_proj.lora_A.default.weight,
model.layers.26.self_attn.o_proj.weight,model.layers.26.self_attn.o_proj.weight,llama.model.layers.26.self_attn.o_proj,6.044370230900917,62.01341540479974,62.30281126698887,0.09746875238923049,0.9952828235214101,0.020781490951776505,14304.312197179763,1.0,9437184,torch.float32,"(3072, 3072)",16,16.0,1.0,llama.model.layers.26.self_attn.o_proj.lora_B.default.weight,llama.model.layers.26.self_attn.o_proj.lora_A.default.weight,
