name,model 1 (large_vox_iter5.pt),model 2 (checkpoint_best.pt),delta_l2,baseline_l2,updated_l2,relative_delta,cosine_similarity,max_abs_delta,numel,dtype,shape,message
ctc_proj.bias,,ctc_proj.bias,,,,,,,,torch.float32,"(32,)",missing from model 1
ctc_proj.weight,,ctc_proj.weight,,,,,,,,torch.float32,"(32, 1024)",missing from model 1
encoder.layer_norm.bias,encoder.layer_norm.bias,av_romanizer.w2v_model.encoder.layer_norm.bias,1.6697020848676984,1.1872009912746468,2.1356883575177372,1.406419045417921,0.6276309955886283,0.11236572265625,1024,torch.float32,"(1024,)",
encoder.layer_norm.weight,encoder.layer_norm.weight,av_romanizer.w2v_model.encoder.layer_norm.weight,4.459601618461616,8.673299666490164,13.029610239752202,0.5141758949816488,0.9959711216352303,0.250244140625,1024,torch.float32,"(1024,)",
encoder.layers.0.fc1.bias,encoder.layers.0.fc1.bias,av_romanizer.w2v_model.encoder.layers.0.fc1.bias,0.8967947809189252,3.958128562415658,3.9869153599124747,0.2265704023447911,0.9745445069037344,0.07403564453125,4096,torch.float32,"(4096,)",
encoder.layers.0.fc1.weight,encoder.layers.0.fc1.weight,av_romanizer.w2v_model.encoder.layers.0.fc1.weight,38.11251598494869,288.42994107350836,276.5810944563523,0.1321378628137481,0.9917757396672036,0.2578125,4194304,torch.float32,"(4096, 1024)",
encoder.layers.0.fc2.bias,encoder.layers.0.fc2.bias,av_romanizer.w2v_model.encoder.layers.0.fc2.bias,0.14005850182091692,3.055628022651201,2.9434961895559923,0.04583624079327425,0.9996084803047924,0.048828125,1024,torch.float32,"(1024,)",
encoder.layers.0.fc2.weight,encoder.layers.0.fc2.weight,av_romanizer.w2v_model.encoder.layers.0.fc2.weight,31.107914808337846,253.2007018612256,239.96945317824452,0.12285872266415553,0.9934773637199213,0.41015625,4194304,torch.float32,"(1024, 4096)",
encoder.layers.0.final_layer_norm.bias,encoder.layers.0.final_layer_norm.bias,av_romanizer.w2v_model.encoder.layers.0.final_layer_norm.bias,0.28470159599826067,1.9677800670242023,1.9649471276502664,0.1446816139513009,0.9895195633136659,0.0865478515625,1024,torch.float32,"(1024,)",
encoder.layers.0.final_layer_norm.weight,encoder.layers.0.final_layer_norm.weight,av_romanizer.w2v_model.encoder.layers.0.final_layer_norm.weight,0.4508203185938144,4.118929691988045,4.144683189397938,0.10945084094800879,0.9940668999670922,0.280029296875,1024,torch.float32,"(1024,)",
encoder.layers.0.self_attn.k_proj.bias,encoder.layers.0.self_attn.k_proj.bias,av_romanizer.w2v_model.encoder.layers.0.self_attn.k_proj.bias,0.004137653400099812,0.060543163541288254,0.0574271056571674,0.06834220675102452,0.9989343190328287,0.00074005126953125,1024,torch.float32,"(1024,)",
encoder.layers.0.self_attn.k_proj.weight,encoder.layers.0.self_attn.k_proj.weight,av_romanizer.w2v_model.encoder.layers.0.self_attn.k_proj.weight,14.463859732601598,128.99304183521596,124.91355651561152,0.11212899181863364,0.9940246607885076,0.15575408935546875,1048576,torch.float32,"(1024, 1024)",
encoder.layers.0.self_attn.out_proj.bias,encoder.layers.0.self_attn.out_proj.bias,av_romanizer.w2v_model.encoder.layers.0.self_attn.out_proj.bias,0.3961725077414753,3.5527708253894734,3.284974504401959,0.11151085370051832,0.9963482337565847,0.16796875,1024,torch.float32,"(1024,)",
encoder.layers.0.self_attn.out_proj.weight,encoder.layers.0.self_attn.out_proj.weight,av_romanizer.w2v_model.encoder.layers.0.self_attn.out_proj.weight,18.322661406620583,106.25662896562744,100.58168142782944,0.1724378195034562,0.9858004335925374,0.3203125,1048576,torch.float32,"(1024, 1024)",
encoder.layers.0.self_attn.q_proj.bias,encoder.layers.0.self_attn.q_proj.bias,av_romanizer.w2v_model.encoder.layers.0.self_attn.q_proj.bias,1.061599278510598,9.79107106823827,9.619595204160095,0.10842524491057688,0.9941732984663424,0.115234375,1024,torch.float32,"(1024,)",
encoder.layers.0.self_attn.q_proj.weight,encoder.layers.0.self_attn.q_proj.weight,av_romanizer.w2v_model.encoder.layers.0.self_attn.q_proj.weight,13.999327516349469,128.38217973151038,123.86321028637896,0.10904416442863563,0.9944798775382752,0.13037109375,1048576,torch.float32,"(1024, 1024)",
encoder.layers.0.self_attn.v_proj.bias,encoder.layers.0.self_attn.v_proj.bias,av_romanizer.w2v_model.encoder.layers.0.self_attn.v_proj.bias,0.2180224152935559,0.6830591209089074,0.5902080236883521,0.3191852778474666,0.9517391300903916,0.04864501953125,1024,torch.float32,"(1024,)",
encoder.layers.0.self_attn.v_proj.weight,encoder.layers.0.self_attn.v_proj.weight,av_romanizer.w2v_model.encoder.layers.0.self_attn.v_proj.weight,15.502635466161355,88.6684620348439,83.63806144798136,0.17483821316387904,0.9855026236091368,0.2158203125,1048576,torch.float32,"(1024, 1024)",
encoder.layers.0.self_attn_layer_norm.bias,encoder.layers.0.self_attn_layer_norm.bias,av_romanizer.w2v_model.encoder.layers.0.self_attn_layer_norm.bias,0.16075138970128117,1.1813342327487093,1.1631839845374567,0.13607612921471635,0.9907170476765998,0.039031982421875,1024,torch.float32,"(1024,)",
